canon_symbol,found_symbol,value_num,canon_value,rel_error,status,source,pattern
r_c,rc,1.409e-15,1.40897017e-15,2.1171491515646622e-05,mismatch,VAM_6_Knotted_Gauge_Fields/images/TimeDilationCore.py,assignment
c,c,300000000.0,299792458.0,0.0006922855944561488,mismatch,VAM_6_Knotted_Gauge_Fields/images/TimeDilationCore.py,assignment
C_e,C_e,1.0,1093845.63,0.9999990857942176,mismatch,VAM_6_Knotted_Gauge_Fields/section/03_natural_æther_constants.tex,assignment
r_c,r_c,1.0,1.40897017e-15,709738233847774.5,mismatch,VAM_6_Knotted_Gauge_Fields/section/03_natural_æther_constants.tex,assignment
C_e,distance,1.5,1093845.63,0.9999986286913264,mismatch,VAM_6_Knotted_Gauge_Fields/section/11_Knot_Taxonomy.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_6_Knotted_Gauge_Fields/section/13_DerivationOfBaryons.tex,assignment
c,c,2.9979,299792458.0,0.999999990000082,mismatch,VAM_6_Knotted_Gauge_Fields/section/13_DerivationOfBaryons.tex,assignment
phi,Phi,4.0,1.618033988749895,1.4721359549995794,mismatch,VAM_6_Knotted_Gauge_Fields/section/A1_DerivationOfTheKineticEnergyOfACircularVortexLoop.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_6_Knotted_Gauge_Fields/section/A4_CalculateElectronHelicity.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_6_Knotted_Gauge_Fields/section/A4_CalculateElectronHelicity.tex,assignment
C_e,C_e,2.0,1093845.63,0.9999981715884352,mismatch,VAM_6_Knotted_Gauge_Fields/section/A8_DerivationPlancksConstant.tex,assignment
