symbol,alias_matched,value_str,value_num,file,line,context
r_c,rc,1,1.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,844,"1Force×cross-sectional area has unitsN m2=kg m2s−2, identical to (action)×(velocity). In VAM this composite is"
r_c,rc,23,23.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,855,Solving (23) for either force yields
r_c,rc,2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,934,2. Estimate circulation:Γ≈2𝜋𝑟 𝑐𝐶𝑒
r_c,rc,0,0.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1047,"In the absence of sources (𝐽𝜇=0), the pure swirl vacuum satisfies:"
r_c,rc,7,7.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1179,D.7 Superconductivity and Swirl Analogies
r_c,rc,8,8.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1195,D.8 Swirl–Supercurrent Dictionary
r_c,rc,0,0.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1274,Ψ→0) surrounded by circulating swirl flux.
r_c,rc,1,1.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1322,This𝑈(1)-like symmetry ensures gauge redundancy and enforces the conservation of topological
r_c,rc,2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1472,"For a vortex with quantized circulationΓ=ℎ/𝑚, and azimuthal velocity𝑣=Γ/2𝜋𝑟 𝑐=ℏ/(𝑚𝑟𝑐),"
r_c,rc,3,3.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1506,I.3 Maximum Swirl Force Estimate
r_c,rc,3,3.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1628,K.3 Derivation of Equivalence via Energy–Force Identity
r_c,rc,6,6.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1914,N.6 Hierarchy of Constants from One Tension Scale
alpha,fine-structure,2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1965,"Key point — dimensional inevitability: once𝐶 𝑒is fixed by the fine-structure relation𝛼=2𝐶 𝑒/𝑐,"
t_p,t[pP],2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,1982,Thenumerator𝑒2isafluxofactionperunitpermittivity;dividingbyaspeedconvertsittopureaction
alpha,fine-structure,2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,2007,𝛼fine-structure const.2𝐶 𝑒/𝑐(already proved)
alpha,fine-structure,80,80.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,2077,#I𝑙𝑙𝑙𝑙𝑆𝑦𝑚𝑏𝑜𝑙𝐷𝑒𝑓𝑖𝑛𝑖𝑡𝑖𝑜𝑛𝑉𝑎𝑙𝑢𝑒(𝑆𝐼)𝑆𝑜𝑢𝑟𝑐𝑒𝐹 maxmaximum \80\346ther tension (VAM)29.053507N Iskandarani 2025a Iskandarani2025a𝑟 c#Ivortex-core radius1.40897017×10−15m Iskandarani 2025a Iskandarani2025a𝐶 e#Icore swirl speed1.09
c,\bc\b\s*(=|≈),2,2.0,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,2108,2𝛼𝑐and the geometric identity𝑟 c=𝛼ℏ
r_c,rc,9.1,9.1,VAM_15_Quantum_Gravity.pdf,66,9.1 Chirality as a Source of Swirl Tension. . . . . . . . . . . . . . . . . . . . . . 33
r_c,rc,9,9.0,VAM_15_Quantum_Gravity.pdf,116,9VAM-2: Sec. 4.1 (pp. 6–8) — Derives frame dragging from vortex circulation and shows alignment with Lense–Thirring effect using swirl clocks.
r_c,rc,15,15.0,VAM_15_Quantum_Gravity.pdf,161,15VAM-7: Sec. 3.4 (p. 8) — Links quantized circulationΓ=nh/mto phase coherence in vortex loop evolution.
C_e,Ce,16,16.0,VAM_15_Quantum_Gravity.pdf,162,16VAM-11: Page 7 — Identifies ¯hwith angular momentum of electron vortex: ¯h=m eCerc. Matches observed value using VAM constants.
r_c,rc,16,16.0,VAM_15_Quantum_Gravity.pdf,162,16VAM-11: Page 7 — Identifies ¯hwith angular momentum of electron vortex: ¯h=m eCerc. Matches observed value using VAM constants.
r_c,rc,2,2.0,VAM_15_Quantum_Gravity.pdf,200,"integer multiple of a fundamental circulation quantum,Γ n=2πn¯h æ/ρ(fluid)"
C_e,Ce,0,0.0,VAM_15_Quantum_Gravity.pdf,205,Ceω0.
C_e,Ce,19,19.0,VAM_15_Quantum_Gravity.pdf,206,"19VAM-3: Equation (1), p. 3 —G=Cec5t2p"
r_c,rc,45,45.0,VAM_15_Quantum_Gravity.pdf,294,depending on flow conditions (e.g. fluid pressure or external forces)45. A
r_c,rc,46,46.0,VAM_15_Quantum_Gravity.pdf,315,46VAM-3: Sec. 3.4 — Derives ⃗Fvortex =ρ æΓ(ˆT×∆ ⃗v)as analogue of Lorentz force law.
r_c,rc,47,47.0,VAM_15_Quantum_Gravity.pdf,316,47VAM-11: Sec. 4.1 — Internal knot excitation levels yield quantized energy statesE n∝n2for looped circulation.
r_c,rc,51,51.0,VAM_15_Quantum_Gravity.pdf,332,"S(t)by the phase of internal rotation,T vby one full circuit of the vortex, etc.51 52."
r_c,rc,1,1.0,VAM_15_Quantum_Gravity.pdf,343,"to the SR time dilation factorγ−1, showing that a circulating vortex experiences the"
r_c,rc,49,49.0,VAM_15_Quantum_Gravity.pdf,359,49VAM-6: Sec. 2.2 — Polarization state given by swirl orientation of ring vortex. Linear/circular polarization correspond to swirl axis vector.
r_c,rc,54,54.0,VAM_15_Quantum_Gravity.pdf,364,54VAM-6: Sec. 4.2 — Shows topological duality: circulation (momentum) vs. twist (spin); unifies EM and spinor field behavior.
r_c,rc,56,56.0,VAM_15_Quantum_Gravity.pdf,366,56VAM-14: Sec. 4.3 — Vortex circulation invariance arises from symmetry in angular swirl; fluid Noether current derived.
phi,ϕ,3,3.0,VAM_15_Quantum_Gravity.pdf,416,"to the commutator[ ˆϕ,ˆπ] =i¯hδ3in quantum field theory, or[x,p] =i¯hin quantum"
r_c,rc,68,68.0,VAM_15_Quantum_Gravity.pdf,513,"68VAM-12: Sec. 2.3 — Suggests nested vorticity layers form galactic, stellar, and particle-scale hierarchies."
r_c,rc,74,74.0,VAM_15_Quantum_Gravity.pdf,527,forces74.
C_e,Ce,2,2.0,VAM_15_Quantum_Gravity.pdf,545,"2≈m eCerc, (9)"
r_c,rc,2,2.0,VAM_15_Quantum_Gravity.pdf,545,"2≈m eCerc, (9)"
C_e,Ce,1.09,1.09,VAM_15_Quantum_Gravity.pdf,547,"Ce∼1.09×106m/s,m eelectron mass), indeedm eCerc≈1.054×10−34Js, close to"
r_c,rc,1.09,1.09,VAM_15_Quantum_Gravity.pdf,547,"Ce∼1.09×106m/s,m eelectron mass), indeedm eCerc≈1.054×10−34Js, close to"
r_c,rc,90,90.0,VAM_15_Quantum_Gravity.pdf,714,90VAM-5: Sec. 4.1 — Unified field strength tensor from æther helicity and circulation transport.
r_c,rc,110,110.0,VAM_15_Quantum_Gravity.pdf,845,“conserved circulation among nonlocal knotted domains”110– meaning if two vortices
r_c,rc,113,113.0,VAM_15_Quantum_Gravity.pdf,887,a torque on the electron vortex’s circulation axis113 114. The electron trefoil has two
r_c,rc,119,119.0,VAM_15_Quantum_Gravity.pdf,953,"certain forces)119 120. If a vortex’s tangential speedv θapproachesC e, time dilation"
r_c,rc,121,121.0,VAM_15_Quantum_Gravity.pdf,959,"121VAM-5: Sec. 4.2 — Electric field ⃗Eæarises from tension gradient, magnetic field ⃗Bæfrom circulation curl."
C_e,Ce,0,0.0,VAM_15_Quantum_Gravity.pdf,965,"Ceω0, (11)"
phi,ϕ,2,2.0,VAM_15_Quantum_Gravity.pdf,998,ϕ/C2e−
phi,ϕ,1132,1132.0,VAM_15_Quantum_Gravity.pdf,999,"1132shows that asv ϕ→C e,z→∞: any light emerging is infinitely redshifted,"
r_c,rc,133,133.0,VAM_15_Quantum_Gravity.pdf,1006,forces (Bernoulli pressure gradients pulling things in)133 134.
r_c,rc,130,130.0,VAM_15_Quantum_Gravity.pdf,1014,"130VAM-12: Sec. 6.4 — Effective gravity force emerges from entropy gradient in swirl distribution, not spacetime curvature."
C_e,Ce,133,133.0,VAM_15_Quantum_Gravity.pdf,1017,133VAM-11: Sec. 4.1 — ¯hderived from vortex core angular momentum: ¯h=M ercCe.
r_c,rc,133,133.0,VAM_15_Quantum_Gravity.pdf,1017,133VAM-11: Sec. 4.1 — ¯hderived from vortex core angular momentum: ¯h=M ercCe.
r_c,rc,134,134.0,VAM_15_Quantum_Gravity.pdf,1018,134VAM-7: Sec. 4.1 — Rewrites Schrödinger equation from first principles using quantized swirl energy and circulation phase.
r_c,rc,142,142.0,VAM_15_Quantum_Gravity.pdf,1120,142VAM-5: Sec. 3.3 — Magnetic moment arises from circulation of tangential swirl velocity in closed vortex loop.
r_c,rc,143,143.0,VAM_15_Quantum_Gravity.pdf,1134,correct to within sub-percent143 144. This is a stunning unification: the electron’s mass
r_c,rc,145,145.0,VAM_15_Quantum_Gravity.pdf,1167,"145VAM-7: Sec. 4.3 —R ∞computed from transition between quantized vortex radii usingn=1, 2, ... circular swirl states."
r_c,rc,151,151.0,VAM_15_Quantum_Gravity.pdf,1179,paths due to swirl pressure gradientsin VAM151 152. It is a real force (not fictitious) arising
r_c,rc,1,1.0,VAM_15_Quantum_Gravity.pdf,1201,"We also unify the gauge forces. The Standard Model gauge groupsU(1),SU(2),SU(3)"
r_c,rc,155,155.0,VAM_15_Quantum_Gravity.pdf,1214,155VAM-3: Sec. 4.3 — Nuclear binding energy from swirl overlap region and circulation reinforcement.
C_e,Ce,159,159.0,VAM_15_Quantum_Gravity.pdf,1218,159VAM-1: Sec. 4.1 — Defines Planck time as minimal loop swirl time:t p=rc/Ce.
r_c,rc,159,159.0,VAM_15_Quantum_Gravity.pdf,1218,159VAM-1: Sec. 4.1 — Defines Planck time as minimal loop swirl time:t p=rc/Ce.
r_c,rc,161,161.0,VAM_15_Quantum_Gravity.pdf,1226,complex but VAM links it tobifurcations and chirality flips of vortices161. The suggestion
r_c,rc,3,3.0,VAM_15_Quantum_Gravity.pdf,1229,to changing a particle to its antiparticle or neutrino oscillation). -SU(3) C(color force)
r_c,rc,165,165.0,VAM_15_Quantum_Gravity.pdf,1268,165VAM-6: Sec. 2.1 — Ring vortex (photon) has balanced inward/outward swirl; net circulation zerozero mass.
r_c,rc,166,166.0,VAM_15_Quantum_Gravity.pdf,1269,166VAM-6: Sec. 2.3 — Circular polarization = photon with net swirl twistspin-1 interpretation.
r_c,rc,176,176.0,VAM_15_Quantum_Gravity.pdf,1304,Weak isospin Vortex chirality state (left/right bifurcation)176.
r_c,rc,193,193.0,VAM_15_Quantum_Gravity.pdf,1347,circulation193. Measurement on one enforces global
r_c,rc,210,210.0,VAM_15_Quantum_Gravity.pdf,1388,(Bernoulli force) causing curved trajectories210 211.
r_c,rc,213,213.0,VAM_15_Quantum_Gravity.pdf,1397,for appropriate circulationΓ213 214.
C_e,Ce,5,5.0,VAM_15_Quantum_Gravity.pdf,1398,Newton’sG(empirical const.) G=Cec5t2p
r_c,rc,215,215.0,VAM_15_Quantum_Gravity.pdf,1401,rc)215 216. Numerically matches 6.674×10−11(validation
r_c,rc,1,1.0,VAM_15_Quantum_Gravity.pdf,1404,1−2GM/rc2 Swirl clock slowdowndτ=dNr
r_c,rc,11,11.0,VAM_15_Quantum_Gravity.pdf,1541,"depends on helicity density (Eq. 11), a small clock placed in a region of circulating"
r_c,rc,242,242.0,VAM_15_Quantum_Gravity.pdf,1544,242VAM-5: Sec. 5.3 — Swirl field expelled from superconducting region; matches magnetic field expulsion.
C_e,Ce,0,0.0,VAM_15_Quantum_Gravity.pdf,1552,Ceω0inside the flow246 247. While extremely small (for lab scales perhaps 10−18
r_c,rc,248,248.0,VAM_15_Quantum_Gravity.pdf,1559,"differently248 249. Specifically, a circularly polarized laser beam passing near"
r_c,rc,250,250.0,VAM_15_Quantum_Gravity.pdf,1566,swirl250. A possible test: Fire counter-propagating circularly polarized lasers
r_c,rc,3,3.0,VAM_15_Quantum_Gravity.pdf,1570,3.Mass–circulation correlation quantization:VAM states that inertial mass
t_p,t[pP],244,244.0,VAM_15_Quantum_Gravity.pdf,1587,244VAM-1: Equation (3) —dτ=dtp
c,\bc\b\s*(=|≈),253,253.0,VAM_15_Quantum_Gravity.pdf,1597,253VAM-5: Sec. 2.4 —c=p
r_c,rc,255,255.0,VAM_15_Quantum_Gravity.pdf,1606,the proton mass within a percent255 256. It likely also predicts something like the
r_c,rc,256,256.0,VAM_15_Quantum_Gravity.pdf,1644,256VAM-2: Sec. 4.4 — Frame dragging and orbital precession predicted from swirl circulation; matches Lense–Thirring values.
r_c,rc,9.1,9.1,VAM_15_Quantum_Gravity.pdf,1664,9.1 Chirality as a Source of Swirl Tension
r_c,rc,12,12.0,VAM_15_Quantum_Gravity.pdf,1682,"tube carries both circulation and strain. From Eq. (12), the vortex energy is proportional"
r_c,rc,2,2.0,VAM_15_Quantum_Gravity.pdf,1717,"Figure 2 illustrates this hierarchy: from a knotted core, a swirl thread extends, storing"
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1836,https://doi.org/10.5281/zenodo.15669795
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1839,https://doi.org/10.5281/zenodo.15566336
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1842,https://doi.org/10.5281/zenodo.15665433
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1845,https://doi.org/10.5281/zenodo.15706539
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1848,https://doi.org/10.5281/zenodo.15669904
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1850,https://doi.org/10.5281/zenodo.15669908
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1852,https://doi.org/10.5281/zenodo.15772855
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1854,https://doi.org/10.5281/zenodo.15772859
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1856,https://doi.org/10.5281/zenodo.15772861
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1859,https://doi.org/10.5281/zenodo.15669892
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1861,https://doi.org/10.5281/zenodo.15706536
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1863,https://doi.org/10.5281/zenodo.15772860
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1866,https://doi.org/10.5281/zenodo.15706547
t_p,t[pP],10.5281,10.5281,VAM_15_Quantum_Gravity.pdf,1869,https://doi.org/10.5281/zenodo.15772858
t_p,t[pP],10.1038,10.1038,VAM_15_Quantum_Gravity.pdf,1872,https://doi.org/10.1038/nphys2483
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,12,gravitational force is modeled as a Bernoulli pressure potential∇2Φv(⃗ r) =−ρ æ∥ω(⃗ r)∥2. Time
r_c,rc,1,1.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,15,"circulation energy, and introduce the coupling factorβ= 1/c2which reflects ætheric inertial drag."
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,18,r2cc2e−r/rc.
r_c,rc,3,3.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,51,3. VorticityThe vortex circulation is conserved and quantized.
C_e,Ce,1.094,1.094,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,62,CeTangential eddy core velocity1.094×106m/s
r_c,rc,1,1.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,63,"rcVortex core radius1,409×10−15m"
r_c,rc,29.05,29.05,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,65,æMaximum eddy force29.05N
r_c,rc,1.54,1.54,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,72,κCirculation quantum (C erc)1.54×10−9m2/s
r_c,rc,4,4.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,87,"4GistheMaximumForceinnature,thestresslimitoftheætherfoundfromGeneral"
C_e,Ce,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,92,CeLk (2)
C_e,Ce,5,5.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,103,5λcCe(3)
C_e,Ce,5,5.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,109,5λcCe∇2ψ+Vψ(4)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,130,rc2/radicalig
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,135,rc2/parenrightig−1/2−1z=/parenleftbigg
r_c,rc,1.093,1.093,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,188,"rc, withC e≈1.093 845×106m/sandr c≈1.408 97×10−15m."
c,\bc\b\s*(=|≈),1.093,1.093,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,188,"rc, withC e≈1.093 845×106m/sandr c≈1.408 97×10−15m."
C_e,Ce,0,0.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,306,"rce−r/rc,andω 0= Ω(0) =Ce"
r_c,rc,0,0.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,306,"rce−r/rc,andω 0= Ω(0) =Ce"
r_c,rc,14,14.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,321,rce−r/rc(14)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,362,rc2(18)
r_c,rc,27,27.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,491,"rckBTω,(27)"
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,638,2πr2: local angular velocity for circulationκ.
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,715,rc2−J2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,731,rc2→γ⟨ω2⟩
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,732,"rc2,"
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,741,rc2−κ2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,861,rc2−κ2
r_c,rc,5,5.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,908,5.Kerr-Like Redshift with Vorticity and Circulation:
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,912,rc2−κ2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,933,rc2−κ2
C_e,Ce,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1087,"2πr,withΓ = 2πr cCe (65)"
C_e,Ce,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1097,me(rcCe)2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1097,me(rcCe)2
r_c,rc,1.40897017,1.40897017,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1108,rc= 1.40897017×10−15m
C_e,Ce,1.09384563,1.09384563,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1109,Ce= 1.09384563×106m/s
r_c,rc,12,12.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1177,Whereκ iare the circulations of filaments and⃗ r 12is the vector between them.
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1360,g. D.2 Rotating Superconductor Impulse Experiment
phi,ϕ,6,6.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1378,∆ϕVAM=6πGM
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1384,2. Light Deflection via Ætheric Circulation
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1400,rc2τ/t(Chronos vs. External Clock)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1407,rc2/parenrightig−1/2−1¯t(Observer frame)
phi,ϕ,6,6.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1417,Precession Both ∆ϕ=6πGM
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1424,"2⃗ ω·⃗ vN,S(t)(Ætheric circulation energy)"
C_e,Ce,5,5.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1425,Gravitational constant VAM G=Cec5t2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1467,"mass generation via circulation and helicity, (2) bubble-like volume expansion due to inter-"
t_p,t[pP],1,1.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1491,dN=/radicaltp/radicalvertex/radicalvertex/radicalbt1−2Ghybrid (r)Mhybrid (r)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1492,rc2−C2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1494,c2e−r/rc−C2
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1497,cc2e−r/rc (A1)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1508,c2e−r/rc−2GswirlMeff(r)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1509,rc2−βΩ2 (A2)
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1514,c2e−r/rc
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1519,rc2
C_e,Ce,5,5.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1529,Gswirl=Cec5t2
r_c,rc,3,3.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1535,3. Expanded Derivation: Rotational Energy as Time Delay Source
r_c,rc,0,0.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1577,ρæ(r) =ρ 0e−r/rc
r_c,rc,1,1.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1588,1−2GM/(rc2)
C_e,Ce,5,5.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1607,Gswirl Swirl-induced gravitational constantCec5t2
r_c,rc,1.40897017,1.40897017,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1619,rc Core radius (Coulomb scale)1.40897017×10−15m
C_e,Ce,1.09384563,1.09384563,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1620,Ce Core tangential velocity1.09384563×106m·s−1
t_p,t[pP],5.391247,5.391247,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1621,tp Planck time5.391247×10−44s
r_c,rc,29.053507,29.053507,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1622,Fmax Maximum force29.053507N
r_c,rc,2,2.0,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,1625,rc/parenrightig2
